,State,Year,state_total_pop,state_emp_avg,state_emp_sum,state_hires_total,state_avg_earnings,state_avg_earnings_meanq,econ_emp_per_1k,econ_hires_per_1k,econ_hire_rate_annual,growth_emp_yoy,growth_earn_yoy,growth_hires_yoy,STATE_# Alcohol-Impaired Driving Deaths,STATE_# Driving Deaths,STATE_Premature Deaths,STATE_% Adults with Obesity,STATE_% Children in Poverty,STATE_% Children in Single-Parent Households,STATE_% Drive Alone to Work,STATE_% Excessive Drinking,STATE_% Fair or Poor Health,STATE_% Long Commute - Drives Alone,STATE_% Low Birthweight,STATE_% Severe Housing Problems,STATE_% Smokers,STATE_% Some College,STATE_% Unemployed,STATE_% Uninsured,STATE_% With Access to Exercise Opportunities,STATE_Food Environment Index,STATE_Income Ratio,STATE_Mentally Unhealthy Days,STATE_Physically Unhealthy Days,STATE_Preventable Hospitalization Rate,STATE_Primary Care Physicians Rate,STATE_Social Association Rate,STATE_Teen Birth Rate,STATE_Violent Crime Rate
451,Texas,2014,26963092.0,9540667.0,38162668.0,7926541.0,4372.09409334274,4372.086730483186,353.841725570643,293.977448877154,0.8308162311922217,,,,5329.0,16017.0,242001.0,28.779083971526706,25.365697787924322,32.960334723081566,79.50538357946236,14.226413669470846,16.495089754542988,34.54163396764733,8.39527701422374,18.385450849517095,15.198601907377686,57.87346437571464,6.87901708796787,25.662133849075744,74.88287698201204,6.660367657133008,0.0,3.020469050804708,3.4784541921230696,0.0,57.57552427478644,0.0,56.50574247598686,448.72086259741405
452,Texas,2015,27468531.0,9816406.0,39265624.0,8043552.0,4436.908291282981,4436.9417959765115,357.36916546429075,292.82789094181993,0.819398871644062,0.028901438442406596,0.014824520368610424,0.014761924526726096,5230.0,15923.0,249144.0,28.72337282252189,24.66328141828917,33.13818305251745,79.88196512098325,14.250801744731088,16.468391549588144,34.91508515690191,8.39157320575733,18.4714289296967,15.186717942797886,58.443715364653585,6.431952310500098,25.109547652152852,84.89115526085,6.3771854308481215,4.716755014316978,3.0203674961722564,3.4760402512970208,60.83362591286735,58.75961336981435,7.773374687830848,54.144056819193025,421.12884921084293
453,Texas,2016,27914064.0,9933867.0,39735468.0,8003589.0,4419.39741786859,4419.220689950593,355.87318994468166,286.72245646495617,0.8056871508346145,0.011965784626267495,-0.0039466385746113886,-0.004968327425495602,5230.0,16405.0,256541.0,28.35347607213339,24.0878105638792,33.25918148129473,80.05351591011299,17.688647020369373,19.087217310958376,35.43895145830432,8.364153322634797,18.62238957760524,14.643596414337948,59.10320071047099,5.12899573161438,24.752143204511338,84.6266905272743,6.4276754076368094,4.74654681294133,3.1281858313429387,3.4751006661015036,56.12336774860157,59.759902855023185,7.764510821331672,51.184769311674195,420.3272801150131
454,Texas,2017,28291024.0,10102915.25,40411661.0,8342134.0,4536.389891546403,4537.138054702584,357.1067363980887,294.868577397552,0.8257155280006927,0.017017365946212084,0.026472494463789756,0.04229914854448423,5046.0,16898.0,265231.0,27.998467821454607,22.500303166827752,33.11493371736562,80.23823451699865,17.804105288472815,18.963309156421776,36.165526797474705,8.330375295131585,18.56552214690055,14.746553581721786,59.68623673643067,4.527018809122305,21.27108686953279,0.0,6.574624287194412,4.739389836245612,3.382064183113244,3.747044256487773,53.01268803985321,60.038218225784256,7.681512659941915,47.76857394278064,403.0341878733718
455,Texas,2018,28624564.0,10372526.5,41490106.0,8680302.0,4697.332977288609,4698.006089511179,362.36452370069287,303.24661014924106,0.8368551287866076,0.02668648041959968,0.03547823039684583,0.040537349316134216,5013.0,17691.0,0.0,28.41049053183832,21.945851332443002,33.09532584276053,80.40407833142231,18.56845987603128,18.881646866762292,36.864758544444555,8.285168324599415,18.416646892753807,14.55136364181534,60.21329015507485,4.683368698303007,19.07976855918534,81.17786002149235,7.175453386818398,4.7201574132125925,3.571373603988921,3.6638514025726985,51.756757195323566,60.081146496715895,7.614261054799606,40.32613577321042,401.83699898455427
456,Texas,2019,28986794.0,10651326.0,42605304.0,8713030.0,4862.8317672607145,4863.373630557707,367.454434595285,300.5861910772195,0.8180230330007738,0.02687864909287048,0.03523250124534168,0.003770375731166957,4990.0,18026.0,0.0,28.922374723468902,20.533998830639913,32.67452939695767,80.54655376563743,18.5821201725119,18.848779165030926,37.436977438760564,8.280588622793777,18.010038618370196,14.544061092009695,60.69867055395946,4.330652603237552,18.48703467509202,80.88459646010593,7.216310372233645,4.6889678676414634,3.5693769509340005,3.66041629345854,4972.716913571056,60.53954507388675,7.603779076805435,36.80379876476074,416.2636753158032
457,Texas,2020,29239570.0,10309361.25,41237445.0,7797892.0,5045.719270604665,5043.564485215785,352.58251916837355,266.6896948210935,0.756389441683402,-0.032105368852666794,0.03760925980932573,-0.10503097085629225,4917.0,18289.0,295950.0,30.106298967460877,20.681354178601122,32.41749605884858,80.64980417285467,19.33356114377431,19.617932717283995,38.07978322526631,8.274209093039138,17.678011459534048,14.272369826987186,61.28655595280273,3.9093643123377686,19.292513779108084,81.20471072911705,7.166387959877659,4.661210595055402,3.872040374643925,3.7315572753705184,4990.325239119454,61.45565358861297,7.329252848316861,33.67013026137563,415.211902948794
458,Texas,2021,29570351.0,10558951.25,42235805.0,9565803.0,5350.591793526843,5346.558028240206,357.078996120134,323.4930488312432,0.9059425290935026,0.024210035321053473,0.06042201449817127,0.2267165280052609,4721.0,18368.0,301159.0,31.377482242263543,18.821301586849614,25.920583265624714,80.61943704974023,18.309444665960605,21.259837069424684,38.734893211108655,8.289358677663774,17.395969669131485,15.96833886965669,61.85261697065748,3.5648703544255054,19.798861236989186,81.16819174867685,7.221570717912682,4.617790311677677,4.216802060915167,4.071870153634938,4749.104955636137,61.17682627439898,7.230756326307482,30.775367145316967,413.0456274685033
459,Texas,2022,30113488.0,11259386.0,45037544.0,9902125.0,5628.505809064544,5628.424442607764,373.89843381809504,328.8269030807723,0.8794551496857822,0.06633563631615404,0.0519407994969683,0.035158783847001655,4739.0,18660.0,328544.0,35.47093902572827,18.366078545932638,25.737851143631516,78.84897079132885,19.032294718593334,22.549008812927948,38.82432119454246,8.27343195510873,17.291239114558348,15.494200983957752,62.91153375974043,7.6788118536125,20.62253499715064,80.92319469939369,7.348747657528082,4.586553675832868,4.258015134077565,3.9936052411563594,4246.115083779069,61.510608767738894,7.2297388022691385,28.181064921264642,411.56682412539067
460,Texas,2023,30727890.0,11683876.0,46735504.0,9047061.0,5854.884394485186,5856.253877650381,380.2368467213336,294.4250646562455,0.7743201827886568,0.03770099008951287,0.04022001452962269,-0.08635156595175278,4739.0,18660.0,328544.0,36.36279557105939,19.091580570615164,25.37391455809141,0.0,19.34824500691208,17.605857206596355,39.02928315286211,8.269404809519568,17.115150076949487,16.13896089838905,63.58168976640671,5.752724963627453,19.78642468704569,81.71157770369942,7.139333009848707,4.598066757558578,4.67555856814466,3.465167416429568,3126.943660205761,61.01274184462389,7.09607824826115,28.09427560000349,0.0
